# stan_version_major = 2
# stan_version_minor = 27
# stan_version_patch = 0
# model = test_model
# start_datetime = 2021-06-14 13:33:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../cmdstan/myTest/test.data.json
# init = 2 (Default)
# random
#   seed = 300164798 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = %%NAME%%3 %%VERSION%%
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,r,z
# Adaptation terminated
# Step size = 0.937857
# Diagonal elements of inverse mass matrix:
# 0.440738
-11.4163,0.991923,0.937857,1,1,0,11.6448,0.0239263,1,nan
-12.1431,0.98236,0.937857,1,1,0,12.2399,0.0184671,1,nan
-11.18,0.931519,0.937857,3,7,0,12.945,0.670025,1,nan
-7.99996,1,0.937857,2,7,0,10.6732,0.0931803,1,nan
-6.90158,0.967925,0.937857,1,3,0,8.05388,0.185335,1,nan
-6.93726,0.993832,0.937857,1,1,0,6.9564,0.178816,1,nan
-6.74814,1,0.937857,2,3,0,6.90684,0.251958,1,nan
-6.89831,0.962218,0.937857,1,3,0,6.97215,0.185974,1,nan
-7.05715,0.991164,0.937857,2,3,0,7.05862,0.161228,1,nan
-6.90247,0.989676,0.937857,2,3,0,7.21554,0.185161,1,nan
-6.83695,0.968678,0.937857,1,3,0,7.19961,0.305011,1,nan
-6.9651,0.968233,0.937857,1,1,0,6.96886,0.337694,1,nan
-6.76124,1,0.937857,1,3,0,6.93371,0.270684,1,nan
-6.77072,0.992098,0.937857,1,3,0,6.81767,0.224021,1,nan
-6.75723,0.970236,0.937857,2,3,0,6.99682,0.233294,1,nan
-6.88187,0.987954,0.937857,2,3,0,6.88497,0.318059,1,nan
-7.03847,0.890979,0.937857,1,3,0,7.61363,0.163647,1,nan
-8.08216,0.900824,0.937857,2,3,0,8.29828,0.0895949,1,nan
-8.27293,0.982705,0.937857,1,1,0,8.38438,0.0820073,1,nan
-8.00079,1,0.937857,1,1,0,8.32891,0.0931431,1,nan
-6.93129,0.967523,0.937857,1,3,0,8.02692,0.179853,1,nan
-6.96821,0.993766,0.937857,1,1,0,6.99184,0.173739,1,nan
-7.72079,0.9064,0.937857,1,3,0,7.78822,0.10714,1,nan
-6.74857,1,0.937857,2,3,0,7.5495,0.245867,1,nan
-6.88247,0.968576,0.937857,1,3,0,6.93413,0.318219,1,nan
-6.94811,0.983386,0.937857,1,1,0,6.96779,0.334017,1,nan
-7.12582,0.954203,0.937857,1,1,0,7.14635,0.367508,1,nan
-7.2372,0.701381,0.937857,2,3,0,9.34668,0.141714,1,nan
-6.7882,1,0.937857,2,3,0,7.23029,0.215732,1,nan
-7.52523,0.86817,0.937857,1,3,0,7.7379,0.119063,1,nan
-7.68768,0.981038,0.937857,1,1,0,7.75497,0.109014,1,nan
-6.74846,0.974628,0.937857,1,3,0,8.01527,0.246313,1,nan
-6.83123,0.988707,0.937857,2,3,0,6.84086,0.201458,1,nan
-6.76372,0.997957,0.937857,2,3,0,6.85253,0.228301,1,nan
-9.38079,0.67771,0.937857,2,3,0,9.38099,0.0513688,1,nan
-9.96934,0.969959,0.937857,1,1,0,10.0475,0.0408434,1,nan
-7.25034,1,0.937857,2,3,0,9.75317,0.140494,1,nan
-7.03624,0.894691,0.937857,2,7,0,8.23316,0.351829,1,nan
-7.517,0.876931,0.937857,1,1,0,7.53113,0.421422,1,nan
-6.74803,0.995894,0.937857,2,3,0,7.57615,0.250429,1,nan
-8.52544,0.734077,0.937857,2,7,0,8.90556,0.516739,1,nan
-8.42331,1,0.937857,2,7,0,8.4676,0.0766475,1,nan
-6.77304,0.991661,0.937857,2,7,0,8.09949,0.278629,1,nan
-7.02743,0.911458,0.937857,1,3,0,7.31466,0.165123,1,nan
-6.83956,0.950823,0.937857,2,7,0,7.42041,0.305841,1,nan
-7.30915,0.797665,0.937857,1,3,0,8.07084,0.135299,1,nan
-7.04799,1,0.937857,1,1,0,7.27355,0.162402,1,nan
-7.04805,0.99999,0.937857,1,1,0,7.10158,0.162394,1,nan
-7.09235,0.997702,0.937857,2,3,0,7.13215,0.156914,1,nan
-6.74996,0.994232,0.937857,1,3,0,7.15309,0.242265,1,nan
-7.16532,0.906202,0.937857,1,3,0,7.34026,0.148811,1,nan
-6.76952,1,0.937857,2,3,0,7.0816,0.276499,1,nan
-6.75987,0.994936,0.937857,2,3,0,6.81527,0.231095,1,nan
